Timestamp,Platform,Hours_played,Which type of games do you enjoy playing the MOST? ,How often do you play games?,Addiction_level,how do you feel gaming is affects your Academics.,By what method do you download games.,Do you Play games with friends,Do you participate in competitive or esports gaming?,"How often do you purchase in-game items (e.g., skins, battle passes, currency)?",What time of day do you primarily game?,Why do you play games?,Sleep_impact,Answer these questions on the scale of 1-5 on how gaming affects these aspects. [stress reduction],Have you ever made friends online.
04-02-2026 14:13,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Occationally,2,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Entertainment,3,2,yes
04-02-2026 14:18,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Daily,3,,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,4,3,No
04-02-2026 14:19,Mobile (Smartphone/Tablet),<1 hr,Online Multiplayer Games,Rarely,1,No effect,play only free games,yes,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Stress relief,2,1(very positive),yes
04-02-2026 14:20,Mobile (Smartphone/Tablet),<1 hr,Offline mobile games,Rarely,1,No effect,play only free games,No,"No, I prefer single-player games",Never,Afternoon (12 PM - 5 PM),Entertainment,5(very negative),3,No
04-02-2026 14:21,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,Single Player story based games,Daily,4,Negatively,Pirate it,yes,"No, I only play non-competitive modes",Never,Afternoon (12 PM - 5 PM),Stress relief,4,2,No
04-02-2026 14:26,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,Offline mobile games,Occationally,1,No effect,play only free games,No,"No, I prefer single-player games",Never,,Stress relief,2,2,No
04-02-2026 14:26,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,Online Multiplayer Games,Weekly,3,Positively,play only free games,yes,"Yes, as a serious competitor",Monthly,Late Night (9 PM - 2 AM),Stress relief,2,1(very positive),yes
04-02-2026 14:29,Mobile (Smartphone/Tablet),<1 hr,Single Player story based games,Rarely,1,Positively,play only free games,No,"No, I prefer single-player games",,,Entertainment,3,2,yes
04-02-2026 14:40,"PC (Desktop/Laptop), Console (PlayStation, Xbox, Nintendo), Mobile (Smartphone/Tablet)",4+ hrs,"Online Multiplayer Games, Single Player story based games",Daily,4,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Stress relief,2,2,yes
04-02-2026 15:40,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,3,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Stress relief,3,1(very positive),yes
